path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/read_boundary_state.go,q0,NONE,2,396,
analysis/check/body/expression_operation.go,q0,NONE,2,396,
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,396,
analysis/check/body/read_boundary.go,q0,NONE,2,570,
analysis/check/body/module_type_alias.go,q0,NONE,2,571,
analysis/check/body/config.go,q0,NONE,2,571,
analysis/check/body/result_parameter_readmodel.go,q0,NONE,2,835,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,834,
analysis/check/body/api.go,q0,NONE,2,915,
analysis/check/body/visibility.go,q0,NONE,2,707,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,708,
analysis/check/body/result_accessors.go,q0,NONE,2,1589,
analysis/check/body/return_type_values.go,q0,NONE,2,1236,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,762,
analysis/check/body/call_identity.go,q0,"FUNC stableCalleeName, 86, handles complex path formatting",15,1721,
analysis/check/body/result_return_readmodel.go,q0,"FUNC openTailReturnPresenceRelations, 41, handles complex state orchestration",16,1369,
analysis/check/body/function_value_types.go,q0,"FUNC functionContextEntryHolds, LINE 88, multiple unrelated responsibilities",16,1764,
analysis/check/body/internal/readexpr/readexpr.go,q0,"FUNC Project, 44, complex logic and deep nesting
FUNC projectFromStructuralEvidence, 154, deep nested control flow",29,1860,
analysis/check/checktest/checktest.go,q0,"FUNC checkSource, 138, mixing parsing, checking, and formatting",17,2904,
analysis/check/diagnostics/evidence.go,q0,NONE,2,1936,
analysis/check/body/run.go,q0,"FUNC prepare, 84, mixing multiple setup responsibilities
FUNC Solve, 54, taking more than 5 parameters
FUNC callOutcomeProvider, 188, mixing multiple setup responsibilities",43,3462,
analysis/check/body/generic_for_transfer.go,q0,"FUNC genericForNodeTransfer, LINE 31, too many parameters
FUNC genericForVariableValue, LINE 61, too many parameters
FUNC genericForLiteralContainerVariableValue, LINE 115, too many parameters",48,3909,
analysis/check/diagnostics/condition_reachability.go,q0,"FUNC redundantConditionProofFor, 66, handles multiple branch types",15,2271,
analysis/check/diagnostics/call_param_obligation.go,q0,"FUNC call, LINE 74, more than 5 parameters",14,2358,
analysis/check/body/entry_state.go,q0,"FUNC parameterEntryState, LINE 31, more than 5 parameters
FUNC functionParamEntrySeeds, LINE 65, more than 5 parameters
FUNC ambientModuleGlobalEntrySeeds, LINE 121, more than 5 parameters",52,3950,
analysis/check/diagnostics/expression_type.go,q0,NONE,2,517,
analysis/check/diagnostics/diagnostics.go,q0,"FUNC produceWithResolver, 53, handles too many responsibilities",15,2227,
analysis/check/checktest/internal/precheck/precheck.go,q0,"FUNC scanStmt, LINE 76, handles many statement types
FUNC scanExpr, LINE 133, handles many expression types",29,4217,
analysis/check/diagnostics/assignment_diagnostic.go,q0,"FUNC assignmentDiagnostic, LINE 13, more than 5 parameters
FUNC pathAssignmentDiagnostic, LINE 51, more than 5 parameters",31,4281,
analysis/check/diagnostics/channel_select_exhaustiveness.go,q0,"FUNC channelSelectDiagnosticInfos, LINE 78, mixing parsing and computing
FUNC channelSelectChainDiagnostic, LINE 135, mixing parsing and computing",33,4681,
analysis/check/body/import_outcomes.go,q0,"FUNC calleeValueProvider, LINE 24, takes more than 5 parameters
FUNC readablePrefixCalleeValue, LINE 65, takes more than 5 parameters
FUNC pathMethodCalleeValue, LINE 88, takes more than 5 parameters
FUNC methodCalleeValue, LINE 118, takes more than 5 parameters",75,6489,
analysis/check/diagnostics/unused_local.go,q0,NONE,2,485,
analysis/check/diagnostics/numeric_for.go,q0,"FUNC numericForOperandDiagnostic, 53, mixes logic and formatting
FUNC mayContainNumber, 101, deep nested control flow",30,3608,
analysis/check/diagnostics/assignment.go,q0,"FUNC localAssignment, LINE 55, too many parameters
FUNC localAssignment, LINE 55, excessive control flow depth
FUNC localAssignment, LINE 55, handles multiple responsibilities",41,6927,
analysis/check/diagnostics/type_reference.go,q0,"FUNC unresolvedTypeRefs, 88, more than 4 parameters",15,1720,
analysis/check/diagnostics/resolver.go,q0,"FUNC newResultResolver, start LINE 46, handles multiple unrelated responsibilities",17,4142,
analysis/check/exportmanifest/effect_boundary.go,q0,NONE,2,622,
analysis/check/exportmanifest/product_type.go,q0,NONE,2,1532,
analysis/check/exportmanifest/export.go,q0,NONE,2,1950,
analysis/check/diagnostics/direct_call.go,q0,"FUNC produceDirectCallContract, 34, handles multiple responsibilities
FUNC (p directCallContract) call, 83, takes more than 5 parameters
FUNC (p directCallContract) directFunctionCall, 243, handles multiple responsibilities",56,8139,
analysis/check/diagnostics/member_read.go,q0,"FUNC walkDepth, LINE 103, deep nested control flow
FUNC fullyNarrowedType, LINE 218, multiple unrelated responsibilities
FUNC read, LINE 245, multiple unrelated responsibilities",46,6037,
analysis/check/diagnostics/member_call.go,q0,"FUNC call, 71, handles multiple logic responsibilities
FUNC typedSignatureStructuralDiagnostic, 115, handles multiple logic responsibilities
FUNC notCallableDiagnostic, 345, handles multiple logic responsibilities",46,6124,
analysis/check/diagnostics/dead_assignment.go,q0,"FUNC collectDeadAssignmentReads, LINE 143, handles complex AST traversal
FUNC firstOverwritesBeforeRead, LINE 285, deep nested control flow
FUNC expr, LINE 233, deep nested control flow
FUNC deadAssignmentDiagnostic, LINE 365, handles multiple unrelated responsibilities",66,8313,
analysis/check/diagnostics/guard_env.go,q0,"FUNC applyBranchGuard, LINE 273, handles many branch conditions
FUNC guardEnvEqual, LINE 465, compares many environment fields
FUNC sortGuardEnv, LINE 498, sorts multiple environment slices",48,6278,
analysis/check/diagnostics/value_reference.go,q0,"FUNC Produce, 27, long function body
FUNC walkValueExpr, 95, deep nested control flow",25,3146,
analysis/check/diagnostics/runtime_guard.go,q0,"FUNC dominantRuntimeTypeGuard, 33, more than 5 parameters",16,5209,
